compPercent,weight,heightInches,numberOfPlaysAsClosestDefender,ageYears,avg_speed,avg_accel,max_speed,max_accel,ACC,Big12,BigTen,other_conf,Pac12,SEC,isPowerFive,Cornerbacks,Linebackers,Safeties,performanceBin,performanceBin01,performanceBin123
0.381818182,202,72,55,24.07671233,6.494543934,3.795777407,20.33227,17.46857,0,0,0,0,0,1,1,0,0,1,1,0,1
0.435294118,202,73,87,27.30410959,6.820457295,3.835797604,21.375475,20.57773,0,0,0,0,0,1,1,1,0,0,1,0,1
0.444444444,190,72,92,27.01917808,7.172806609,3.952332515,21.88685,18.389045,0,0,0,0,0,1,1,1,0,0,1,0,1
0.449275362,190,74,72,28.20273973,6.579966948,4.054208091,21.702755,25.466475,0,0,0,0,0,1,1,1,0,0,1,0,1
0.453125,200,73,65,24.51232877,6.812670951,3.962658569,21.80503,22.111855,0,1,0,0,0,0,1,1,0,0,1,0,1
0.462686567,197,72,68,21.49863014,6.974434589,4.189626674,21.43684,19.248155,0,0,0,0,0,1,1,1,0,0,1,0,1
0.469879518,191,71,84,20.69315068,6.401841976,4.113379249,21.170925,21.007285,0,0,1,0,0,0,1,1,0,0,1,0,1
0.47,208,73,101,23.20547945,6.842819457,3.97619571,21.96867,20.025445,1,0,0,0,0,0,1,1,0,0,1,0,1
0.480769231,190,71,53,25.64383562,5.895815651,3.77977591,19.698165,16.52764,0,0,0,0,1,0,1,1,0,0,1,0,1
0.490909091,191,71,56,34.82191781,6.485518283,3.882135299,20.066355,20.82319,0,0,0,1,0,0,0,1,0,0,1,0,1
0.5,192,71,77,27.91780822,6.90917838,4.064162318,20.57773,19.452705,0,0,0,1,0,0,0,1,0,0,1,0,1
0.5,194,71,107,24.95890411,6.881695153,3.948631764,21.170925,17.30493,0,0,0,0,1,0,1,1,0,0,1,0,1
0.5,213,73,56,22.22465753,6.196136716,3.794920796,20.98683,16.916285,0,0,0,1,0,0,0,0,0,1,1,0,1
0.5,195,75,71,22.8,6.862218551,3.997696795,20.98683,22.17322,0,0,0,0,1,0,1,1,0,0,1,0,1
0.507936508,192,71,65,22.97534247,6.642230054,4.031718791,20.90501,21.825485,0,0,0,1,0,0,0,1,0,0,1,0,1
0.508196721,192,71,62,28.33150685,6.552923273,3.767985226,21.02774,23.952805,0,0,0,0,0,1,1,1,0,0,1,0,1
0.509803922,203,73,51,27.49589041,6.202755361,3.665155312,20.598185,17.50948,0,0,0,1,0,0,0,1,0,0,1,0,1
0.511904762,196,70,87,30.91232877,6.563257901,3.832627969,20.270905,16.52764,0,0,0,1,0,0,0,1,0,0,1,0,1
0.514285714,210,72,72,31.64383562,6.553903596,4.013781103,22.930055,62.858215,0,0,0,1,0,0,0,1,0,0,1,0,1
0.514563107,194,71,104,25.89315068,6.571981796,3.839815301,21.39593,20.49591,1,0,0,0,0,0,1,1,0,0,1,0,1
0.516666667,196,72,61,25.19726027,6.984771826,3.964947791,21.84594,16.793555,0,0,0,1,0,0,0,1,0,0,1,0,1
0.52,210,71,50,25.78082192,6.1393123,4.212440854,19.411795,20.557275,0,1,0,0,0,0,1,0,0,1,1,0,1
0.520833333,212,73,48,27.42191781,5.987392463,3.698015159,19.698165,15.279885,0,0,0,1,0,0,0,0,0,1,1,0,1
0.520833333,205,70,48,26.35342466,6.016332102,3.729917302,19.47316,18.36859,0,0,0,0,0,1,1,0,0,1,1,0,1
0.525773196,212,73,99,24.42739726,6.27922275,3.904919144,21.06865,18.69587,0,0,0,1,0,0,0,1,0,0,1,0,1
0.532258065,194,74,63,28.26849315,6.881312157,4.131463772,21.252745,21.211835,0,0,0,1,0,0,0,1,0,0,1,0,1
0.536231884,205,72,72,25.28219178,7.028967546,4.291915055,20.98683,19.51407,0,0,0,1,0,0,0,1,0,0,1,0,1
0.537037037,187,71,56,29.14794521,6.354778222,3.87283854,20.33227,19.452705,1,0,0,0,0,0,1,1,0,0,1,0,1
